DOC_CD,DOC_DEPT_CD,DOC_ID,DOC_VERS_NO,DOC_DSCR,CONTRACT_SYNOPSIS,CONTRACT_CONTACT_NM,CONTRACT_CONTACT_VOICE_PH_NO,CONTRACT_CONTACT_EMAIL_AD,MA_PRCH_LMT_AM,MA_ITD_ORD_AM,MA_DO_RFED_AM,EFBGN_DT,EFEND_DT,GNRC_PO_RPT_1,RPT_DSCR,BRD_AWD_DT,BRD_AWD_NO,CAT_DSCR,DOC_VEND_LN_NO,VEND_CUST_CD,LGL_NM,ALIAS_NM,SO_DOC_CD,SO_DOC_DEPT_CD,SO_DOC_ID,TODAY,ROW_KEY
CT,6100,21050500544,9,BRYKER ROAD WATER AND WASTEWATER PIPELINE RENEWAL,,Contract and Land Management Department,unknown,unknown,1498159.27,1498159.27,1338938.56,05/06/2021,,10,Competitive Acquisition,04/24/0021,8,Construction,1,SAN8316404,SANTA CLARA CONSTRUCTION LTD,N/A,IFB,6100,CLMC831,12/09/2024,CT6100210505005449SAN8316404
MA,6100,SA230000005,1,UPPER TANNEHILL STORMWATER IMPROVEMENTS AND WASTEWATER INTER,,Capital Contracting Office,unknown,unknown,2885847.17,2885847.17,504196.71,04/14/2023,04/13/2026,10,Competitive Acquisition,11/17/0022,30,Professional Services,1,CAM0933250,CDM SMITH INC,N/A,RFQS,6100,CLMP340,12/09/2024,MA6100SA2300000051CAM0933250
MA,7400,NA210000173,2,THE PERFORMANCE OF DEPOSITORY SERVICES FOR CITY FUNDS.,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,2600000,0,0,08/31/2021,08/30/2026,10,Competitive Acquisition,08/28/0021,49,Non-Professional Services,1,CHA7140050,"JPMORGAN CHASE BANK, N.A.",CHASE,RFP,7400,AVB3002,12/09/2024,MA7400NA2100001732CHA7140050
MA,9200,NA230000104,2,VETERINARY PHARMACEUTICALS AND SUPPLIES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,3300000,401847,202613.72,04/20/2023,04/20/2028,10,Competitive Acquisition,04/15/0023,12,Non-Professional Services,3,V00000962725,BOEHRINGER INGELHEIM ANIMAL HEALTH USA INC,N/A,IFB,9200,JRH1052,12/09/2024,MA9200NA2300001042V00000962725
MA,9200,NA230000104,2,VETERINARY PHARMACEUTICALS AND SUPPLIES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,3300000,401847,202613.72,04/20/2023,04/20/2028,10,Competitive Acquisition,04/15/0023,12,Non-Professional Services,2,V00000983250,WA BUTLER COMPANY,"COVETRUS NORTH AMERICA, LLC",IFB,9200,JRH1052,12/09/2024,MA9200NA2300001042V00000983250
MA,9200,NA230000104,2,VETERINARY PHARMACEUTICALS AND SUPPLIES,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,3300000,401847,202613.72,04/20/2023,04/20/2028,10,Competitive Acquisition,04/15/0023,12,Non-Professional Services,1,VS0000025998,"MIDWEST VETERINARY SUPPLY, INC.",N/A,IFB,9200,JRH1052,12/09/2024,MA9200NA2300001042VS0000025998
CT,6100,08071602240,16,HOLLY STREET POWER PLANT DECOMMISSIONING,,Contract and Land Management Department,unknown,unknown,10793834.72,10793834.72,10785492.38,11/24/2008,,10,Competitive Acquisition,05/25/0013,14,Professional Services,1,WES5125100,WESTON SOLUTIONS INC,"WESTON SOLUTIONS, INC.",RFQS,6100,PWP0031,12/09/2024,CT61000807160224016WES5125100
MA,4400,NA210000180,5,AUSTIN PREPAREDNESS CALENDAR,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,52897.5,19765,13290,08/18/2021,08/17/2026,10,Competitive Acquisition,,ADMIN,Non-Professional Services,1,V00000916109,CW PRINT SERVICES INC,N/A,IFB,4400,SSC1016,12/09/2024,MA4400NA2100001805V00000916109
CT,6100,21111800129,4,SAR WWTP SLUDGE TRANSFER & RECLAIMED WATER LINE PROJECT,,Contract and Land Management Department,unknown,unknown,5616562.46,5616562.46,5335734.34,12/20/2021,,10,Competitive Acquisition,11/20/0021,15,Construction,1,AUS8321418,AUSTIN UNDERGROUND INC,N/A,IFB,6100,CLMC737,12/09/2024,CT6100211118001294AUS8321418
MA,5800,NA230000149,1,EXECUTIVE RECRUITMENT,,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,1000000,56500,31068,07/21/2023,07/20/2025,10,Competitive Acquisition,07/22/0023,42,Non-Professional Services,2,VIR8311645,"BAKER TILLY US, LLP",BAKER TILLY VIRCHOW KRAUSE LLP,RFQS,5800,ALD4006,12/09/2024,MA5800NA2300001491VIR8311645
CT,6100,20081701011,3,HARMOND AVENUE AREA WATER AND WASTEWATER SYSTEM RENEWAL,,Contract and Land Management Department,unknown,unknown,3153641.8,3153641.8,2877386.17,08/18/2020,,10,Competitive Acquisition,07/31/0020,9,Construction,1,SAN8316404,SANTA CLARA CONSTRUCTION LTD,N/A,IFB,6100,CLMC796,12/09/2024,CT6100200817010113SAN8316404
CT,6100,21050700551,11,RED RIVER ENHANCEMENT,,Contract and Land Management Department,unknown,unknown,1103175.55,1103175.55,1099280.76,05/07/2021,,10,Competitive Acquisition,04/24/0021,11,Construction,1,ASD7048240,ASD CONSULTANTS INC,N/A,IFB,6100,CLMC837,12/09/2024,CT61002105070055111ASD7048240
MA,6100,23092000037,1,LCL MBLTYADA SIDEWALK AND RMP IMPRMTS GROUP 30 CITY WDE IDIQ,,Capital Contracting Office,unknown,unknown,1500000,1499954,0,09/20/2023,03/23/2025,10,Competitive Acquisition,09/16/0023,47,Construction,1,MUN7143465,MUNIZ CONCRETE & CONTRACTING INC,N/A,IFB,6100,CLMC981,12/09/2024,MA6100230920000371MUN7143465
MA,6100,23092100039,1,LOCAL MOBILITY ADA SIDEWALK AND RMP. IMPNTS GRP. 29-IDIQ,,Capital Contracting Office,unknown,unknown,1500000,0,0,09/21/2023,03/23/2025,10,Competitive Acquisition,09/16/0023,46,Construction,1,VS0000017696,AUSTIN CONSTRUCTORS LLC,N/A,IFB,6100,CLMC980,12/09/2024,MA6100230921000391VS0000017696
CT,6100,21102200055,5,HANDCOX WATER TREATMENT PLANT PROCESS BLDG HVAC IMPR PROJECT,,Contract and Land Management Department,unknown,unknown,1038603.29,1038603.29,899677.36,11/04/2022,,10,Competitive Acquisition,10/23/0021,6,Construction,1,V00000956852,"PGC GENERAL CONTRACTORS, LLC",PEABODY GENERAL CONTRACTORS,IFB,6100,CLMC856A,12/09/2024,CT6100211022000555V00000956852
CT,6100,21120700211,3,FORT UPPER BASIN WATER AND WASTEWATER PIPELINE RENEWAL,,Contract and Land Management Department,unknown,unknown,2642686.34,2642686.34,2313973.16,06/28/2023,,10,Competitive Acquisition,11/20/0021,13,Construction,1,FAC8317993,FACILITIES REHABILITATION INC,N/A,IFB,6100,CLMC877,12/09/2024,CT6100211207002113FAC8317993
CT,6100,21121400224,4,HYDE PARK WATER AND WASTEWATER PIPELINE RENEWAL,,Contract and Land Management Department,unknown,unknown,8149751.5,8149751.5,5226406.98,10/29/2022,,10,Competitive Acquisition,12/11/0021,24,Construction,1,SAN8316404,SANTA CLARA CONSTRUCTION LTD,N/A,IFB,6100,CLMC839,12/09/2024,CT6100211214002244SAN8316404
CT,6100,21121400227,5,POLYBUTYLENE WATER SERVICES REPLACEMENT PROGRAM,,Contract and Land Management Department,unknown,unknown,9105680,9105680,5340074.11,07/05/2023,,10,Competitive Acquisition,12/11/0021,25,Construction,1,AUS8321418,AUSTIN UNDERGROUND INC,N/A,IFB,6100,CLMC850,12/09/2024,CT6100211214002275AUS8321418
CT,6100,22020500342,2,HORNSBY BEND BIOSOLIDS MANAGEMENT PLANT CENTRIFUGES,,Contract and Land Management Department,unknown,unknown,11152006.37,11152006.37,6919452.65,08/23/2023,,10,Competitive Acquisition,01/29/0022,16,Construction,1,MAT8308109,"MATOUS CONSTRUCTION II, LTD","MATOUS CONSTRUCTION, LTD OR MATOUS CONSTRUCTION",IFB,6100,CLMC872,12/09/2024,CT6100220205003422MAT8308109
CT,6100,22021800372,10,MEDICAL ARTS SQUARE WATER AND WASTEWATER SYSTEM RENEWAL,,Contract and Land Management Department,unknown,unknown,3140554.01,3140554.01,2800980.12,06/03/2022,,10,Competitive Acquisition,01/29/0022,17,Construction,1,V00000956852,"PGC GENERAL CONTRACTORS, LLC",PEABODY GENERAL CONTRACTORS,IFB,6100,CLMC879,12/09/2024,CT61002202180037210V00000956852
CT,6100,20111700084,2,E. ALLANDALE WHITE ROCK NEIGHBRHD W&WW SYSTEM RENEWAL,,Contract and Land Management Department,unknown,unknown,3468020,3468020,561944.95,11/30/2020,,10,Competitive Acquisition,10/03/0020,3,Construction,1,V00000969089,VACA UNDERGROUND UTILITIES INC,N/A,IFB,6100,CLMC743,12/09/2024,CT6100201117000842V00000969089
CT,6100,20112000098,6,MORROW AND GAULT WATER & WASTEWATER PIPELINE RENEWAL,,Contract and Land Management Department,unknown,unknown,5483936.74,5483936.74,4128170.15,11/20/2020,,10,Competitive Acquisition,10/31/0020,4,Construction,1,SAN8316404,SANTA CLARA CONSTRUCTION LTD,N/A,IFB,6100,CLMC797,12/09/2024,CT6100201120000986SAN8316404
CT,6100,20120100122,2,SLAUGHTER LANE AND CAPITAL OF TEXAS RESERVOIR IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,3430071.78,3430071.78,3404750.93,12/04/2020,,10,Competitive Acquisition,11/14/0020,6,Non-Professional Services,1,BLA8301292,BLASTCO TEXAS INC,N/A,IFB,6100,CLMC808,12/09/2024,CT6100201201001222BLA8301292
CT,6100,20121600156,5,HORNSBY BEND TRANSFER PUMP STATION AND IRRIGATION SYSTEM IMP,,Contract and Land Management Department,unknown,unknown,16407847.32,16407847.32,15179304.27,12/17/2020,,10,Competitive Acquisition,12/12/0020,13,Construction,1,V00000956852,"PGC GENERAL CONTRACTORS, LLC",PEABODY GENERAL CONTRACTORS,IFB,6100,CLMC774,12/09/2024,CT6100201216001565V00000956852
CT,6100,21052000586,17,NORTH TARRYTOWN WWW PIPELINE RENEWAL,,Contract and Land Management Department,unknown,unknown,4811361.37,4811361.37,4523369.15,05/21/2021,,10,Competitive Acquisition,05/22/0021,5,Construction,1,SMI8307578,M.A. SMITH CONTRACTING CO INC,SMITH CONTRACTING CO INC,IFB,6100,CLMC838,12/09/2024,CT61002105200058617SMI8307578
CT,6100,21052600614,5,LAKE AUSTIN-MEREDITH ST. STORM DRAIN IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,3861154.14,3861154.14,3668096.43,05/26/2021,,10,Competitive Acquisition,05/22/0021,4,Construction,1,FAC8317993,FACILITIES REHABILITATION INC,N/A,IFB,6100,CLMC834,12/09/2024,CT6100210526006145FAC8317993
CT,6100,21081200843,7,ST. ELMO SERVICE CENTER 8 RENOVATIONS,,Contract and Land Management Department,unknown,unknown,966200.55,966200.55,649880.73,08/18/2021,,10,Competitive Acquisition,07/31/0021,20,Construction,1,BAR7111710,RODRIGUEZ BARR INC,THE BARR CO AIA,IFB,6100,CLMC858,12/09/2024,CT6100210812008437BAR7111710
CT,6100,21090800955,6,BEVERLY ROAD WATER AND WASTEWATER PIPELINE RENEWAL,,Contract and Land Management Department,unknown,unknown,924062.32,924062.32,877859.21,09/09/2022,,10,Competitive Acquisition,07/31/0021,18,Construction,1,V00000919925,UNDERGROUND WATER SOLUTIONS CO.,N/A,IFB,6100,CLMC845,12/09/2024,CT6100210908009556V00000919925
CT,6100,09051901445,6,DAVIS WATER TREATMENT PLANT POWER DISTRIBUTION UPGRADE,,Contract and Land Management Department,unknown,unknown,6994382.15,6994382.15,6410538.11,01/21/2010,,10,Competitive Acquisition,08/06/0016,19,Professional Services,1,HUR2455500,HARUTUNIAN ENGINEERING INC,N/A,RFQS,6100,PWP0053,12/09/2024,CT6100090519014456HUR2455500
CT,6100,09060501513,4,WATER DISTRIBUTION CONTROL SYSTEM& LIFT STATION TELEMETRY,,Contract and Land Management Department,unknown,unknown,2100902.63,2100902.63,1949614.82,04/02/2010,,55,Pers / Prof / Plan Svcs (252),08/24/0013,13,Sole and Single Source,1,CHM7087490,CH2M HILL INC,N/A,RFQS,6100,PWP0066,12/09/2024,CT6100090605015134CHM7087490
CT,6100,16040500516,15,DAVIS WATER TREATMENT PLANT TREATED WATER DISCHARGE SYSTEM,,Contract and Land Management Department,unknown,unknown,45676261.36,45676261.36,41236943.94,04/13/2016,,10,Competitive Acquisition,04/02/0016,11,Construction,1,MAT8308109,MATOUS CONSTRUCTION LTD,MATOUS CONSTRUCTION,IFB,6100,CLMC569,12/09/2024,CT61001604050051615MAT8308109
CT,6100,16080400825,14,DAVIS WTP POWER DISTRIBUTION UPGRADE,,Contract and Land Management Department,unknown,unknown,26314647.26,26314647.26,25254640.58,11/28/2016,,10,Competitive Acquisition,08/06/0016,6,Construction,1,TMO8320608,T MORALES COMPANY ELECTRIC & CONTROLS LTD,N/A,IFB,6100,CLMC585,12/09/2024,CT61001608040082514TMO8320608
CT,6100,17013000244,15,WALNUT CREEK WWTP TERTIARY FILTER REHABILITATION,,Contract and Land Management Department,unknown,unknown,27867300.13,27867300.13,27794840.55,03/23/2017,,10,Competitive Acquisition,01/28/0017,12,Construction,1,VS0000037240,"PLW WATERWORKS, LLC",N/A,IFB,6100,CLMC587,12/09/2024,CT61001701300024415VS0000037240
CT,6100,19110100074,3,DAVIS LANE # 1 RESERVOIR IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,5095366.53,5095366.53,4894421.12,12/09/2019,,10,Competitive Acquisition,11/02/0019,6,Construction,1,BLA8301292,BLASTCO TEXAS INC,N/A,IFB,6100,CLMC756,12/09/2024,CT6100191101000743BLA8301292
CT,6100,20013100314,8,WASTEWATER COLLECTION SYSTEM REPLACEMENT LINES- NORTH,,Contract and Land Management Department,unknown,unknown,4201715.09,4201715.09,4163610.09,02/03/2020,,10,Competitive Acquisition,01/25/0020,17,Construction,1,FAC8317993,FACILITIES REHABILITATION INC,N/A,IFB,6100,CLMC738,12/09/2024,CT6100200131003148FAC8317993
CT,6100,20021400358,7,ULLRICH WATER TREATMENT PLANT LIME FEED LOOP,,Contract and Land Management Department,unknown,unknown,12678817.64,12678817.64,12451711.43,03/24/2020,,10,Competitive Acquisition,01/25/0020,14,Construction,1,MAT8308109,"MATOUS CONSTRUCTION II, LTD","MATOUS CONSTRUCTION, LTD OR MATOUS CONSTRUCTION",IFB,6100,CLMC750,12/09/2024,CT6100200214003587MAT8308109
CT,6100,18051100427,12,AUSTIN ENERGY DISTRICT COOLING PLANT #3,,Contract and Land Management Department,unknown,unknown,45867882.01,45867882.01,42729180.17,05/25/2018,,10,Competitive Acquisition,04/28/0018,5,Construction,1,VC0000103145,FLINTCO LLC,N/A,IFB,6100,CLMC682,12/09/2024,CT61001805110042712VC0000103145
CT,6100,20042000587,7,NORTH AUSTIN RESERVOIR AND PUMP STATION IMPROVEMENTS,,Contract and Land Management Department,unknown,unknown,42455693.66,42455693.66,35151115.92,04/20/2020,,10,Competitive Acquisition,03/14/0020,6,Construction,1,VS0000022307,"MGC CONTRACTORS, INC.",N/A,IFB,6100,CLMC760,12/09/2024,CT6100200420005877VS0000022307
CT,6100,21061600676,3,WEST 9TH AND 12TH STREETS WATER AND WASTEWATER RENEWAL,,Contract and Land Management Department,unknown,unknown,2040959.79,2040959.79,1854803.55,06/17/2021,,10,Competitive Acquisition,06/12/0021,6,Construction,1,V00000919925,UNDERGROUND WATER SOLUTIONS CO.,N/A,IFB,6100,CLMC842,12/09/2024,CT6100210616006763V00000919925
CT,6100,21090300943,8,MEADOW LAKE BLVD STREET EXTENSION,,Contract and Land Management Department,unknown,unknown,2668888.96,2668888.96,2662999.96,09/03/2021,,10,Competitive Acquisition,08/28/0021,6,Construction,1,DEN8303211,DENUCCI CONSTRUCTORS L L C,N/A,IFB,6100,CLMC864,12/09/2024,CT6100210903009438DEN8303211
MA,6100,CA220000013,2,WASTEWATER LINE RENEWAL AND SPOT REHAB SERVICE CONTRACT IDIQ,,Capital Contracting Office,unknown,unknown,6400000,2933026.45,1154010.36,07/28/2022,07/28/2024,10,Competitive Acquisition,07/30/0022,31,Construction,1,SAN8316404,SANTA CLARA CONSTRUCTION LTD,N/A,IFB,6100,CLMC911,12/09/2024,MA6100CA2200000132SAN8316404
MA,6100,CA220000014,3,2021 FACILITIES - LARGE FACILITIES IDIQ,,Capital Contracting Office,unknown,unknown,10000000,3469607.69,304249.09,07/28/2022,03/19/2024,10,Competitive Acquisition,07/30/0022,35,Construction,1,V00000956852,"PGC GENERAL CONTRACTORS, LLC",PEABODY GENERAL CONTRACTORS,IFB,6100,CLMC887,12/09/2024,MA6100CA2200000143V00000956852
MA,6100,CA230000002,1,2024 WATERLINE ON-CALL SERVICES IDIQ,,Capital Contracting Office,unknown,unknown,3000000,601918.75,0,07/20/2023,07/19/2024,10,Competitive Acquisition,07/22/0023,72,Construction,1,V00000956852,"PGC GENERAL CONTRACTORS, LLC",PEABODY GENERAL CONTRACTORS,IFB,6100,CLMC991,12/09/2024,MA6100CA2300000021V00000956852
MA,6100,CA230000003,2,WASTEWATER RENEWAL PROGRAM - MANHOLES IDIQ (2023-2027),,Capital Contracting Office,unknown,unknown,750000,470480,0,09/11/2023,09/10/2024,10,Competitive Acquisition,09/02/0023,25,Construction,1,FAC8317993,FACILITIES REHABILITATION INC,N/A,IFB,6100,CLMC998,12/09/2024,MA6100CA2300000032FAC8317993
CT,6100,22040400486,5,JAIN LANE STREET REALIGNMENT,,Contract and Land Management Department,unknown,unknown,1485622.48,1485622.48,1050910.42,11/01/2022,,10,Competitive Acquisition,04/09/0022,30,Construction,1,AUS8321418,AUSTIN UNDERGROUND INC,N/A,IFB,6100,CLMC865,12/09/2024,CT6100220404004865AUS8321418
MA,6100,PA110000043,41,SMALL DIAMETER WATER AND WASTEWATER PIPELINE ENGINEERING,,Contract and Land Management Department,unknown,unknown,5000000,4694846.66,4666834.5,04/21/2011,12/31/2023,10,Competitive Acquisition,04/23/0011,10,Professional Services,5,GSW7111865,OTHON INC,N/A,RFQS,6100,CLMP058A,12/09/2024,MA6100PA11000004341GSW7111865
CT,6100,22072200743,6,TRUMAN HEIGHTS WATER AND WASTEWATER PIPELINE REHABILITATION,,Contract and Land Management Department,unknown,unknown,3645828.03,3645828.03,2544868.71,03/03/2023,,10,Competitive Acquisition,07/30/0022,32,Construction,1,FAC8317993,FACILITIES REHABILITATION INC,N/A,IFB,6100,CLMC884,12/09/2024,CT6100220722007436FAC8317993
MA,6100,PA110000043,41,SMALL DIAMETER WATER AND WASTEWATER PIPELINE ENGINEERING,,Contract and Land Management Department,unknown,unknown,5000000,4694846.66,4666834.5,04/21/2011,12/31/2023,10,Competitive Acquisition,04/23/0011,10,Professional Services,10,VS0000005944,"BURY+PARTNERS - HS&A, INC.","HS&A, INC.",RFQS,6100,CLMP058A,12/09/2024,MA6100PA11000004341VS0000005944
CT,9000,23062700515,1,DELIVERY AND INSTALLATION OF WALK IN FREEZER & COMPONENTS,,Central Purchasing Office Receptionist,5129742500,purchinfo@austintexas.gov,120240,120240,0,09/25/2023,,60,Cooperative Purchase,09/23/0023,25,Cooperatives and Interlocals,1,PAS7169910,PASCO BROKERAGE INC,PASCO BROKERAGE,IFB,9000,AMA1091,12/09/2024,CT9000230627005151PAS7169910
MA,1500,NA210000164,5,"EDUCATION, CLEANUP, AND BEAUTIFICATION SERVICES",,Central Purchasing Office Receptionist,(512) 974-2500,purchinfo@austintexas.gov,2521040,1777838.11,1296940.33,08/09/2021,08/08/2024,10,Competitive Acquisition,07/31/0021,82,Non-Professional Services,2,TRE7095800,TREEFOLKS INC,N/A,RFP,1500,CRR3008,12/09/2024,MA1500NA2100001645TRE7095800
MA,6100,PA110000062,53,2011 SMALL SCALE CIVIL ENGINEERING ROTATION LIST,,Contract and Land Management Department,unknown,unknown,6400000,5986267.8,5573886.17,06/23/2011,12/31/2024,10,Competitive Acquisition,06/25/0011,13,Professional Services,1,VIC7091950,VICKREY & ASSOC LLC,N/A,RFQS,6100,CLMP080,12/09/2024,MA6100PA11000006253VIC7091950
MA,6100,PA110000062,53,2011 SMALL SCALE CIVIL ENGINEERING ROTATION LIST,,Contract and Land Management Department,unknown,unknown,6400000,5986267.8,5573886.17,06/23/2011,12/31/2024,10,Competitive Acquisition,06/25/0011,13,Professional Services,11,VS0000008095,"ARDURRA GROUP, INC.","KING ENGINEERING ASSOCIATES, INC.",RFQS,6100,CLMP080,12/09/2024,MA6100PA11000006253VS0000008095
